Ligand_WB,Receptor_WB,Ligand_symbol,Receptor_symbol,score,index,LR Function,L Function,R Function,Ligand_desc,Receptor_desc
WBGene00000903,WBGene00004860,daf-7,sma-6,1.0,1,TGF-B signaling,GDF11,BMPRIB,"Is an ortholog of human GDF11 (growth differentiation factor 11) and MSTN (myostatin). Is predicted to have cytokine activity and transforming growth factor beta receptor binding activity. Is involved in several processes, including cellular response to cGMP; regulation of gene expression; and response to bacterium. Localizes to extracellular space. Is expressed in coelomocyte; head neurons; pharynx; and in male. Human ortholog(s) of this gene are implicated in several diseases, including Klippel-Feil syndrome (multiple); Loeys-Dietz syndrome (multiple); and bone disease (multiple).","Is an ortholog of human BMPR1A (bone morphogenetic protein receptor type 1A) and BMPR1B (bone morphogenetic protein receptor type 1B). Exhibits BMP binding activity. Is involved in several processes, including defense response to other organism; nematode male tail tip morphogenesis; and positive regulation of macromolecule metabolic process. Is expressed in ASI; hypodermis; intestinal cell; pharynx; and tail. Human ortholog(s) of this gene are implicated in several diseases, including Loeys-Dietz syndrome (multiple); fibrodysplasia ossificans progressiva; and hereditary hemorrhagic telangiectasia."
WBGene00002881,WBGene00006894,let-756,ver-1,1.0,7,Canonical RTK-Ras-ERK signaling,FGF,fms-related tyrosine kinase 1,"Is an ortholog of human FGF16 (fibroblast growth factor 16) and FGF20 (fibroblast growth factor 20). Exhibits growth factor activity; protein kinase binding activity; and transcription factor binding activity. Is involved in fibroblast growth factor receptor signaling pathway; nematode larval development; and regulation of cell projection organization. Localizes to cytoplasm; extracellular space; and nucleus. Is expressed in several structures, including CAN; OLL; cephalic sensillum; muscle cell; and pharyngeal cell. Human ortholog(s) of this gene are implicated in several diseases, including LADD syndrome; bone disease (multiple); and hypogonadotropic hypogonadism (multiple).","Is an ortholog of human FLT1 (fms related receptor tyrosine kinase 1). Is predicted to have transmembrane receptor protein tyrosine kinase activity. Is involved in nematode male tail tip morphogenesis. Is expressed in intestinal muscle; intestine; and neuronal sheath cell. Human ortholog(s) of this gene are implicated in several diseases, including bone development disease (multiple); gastrointestinal system cancer (multiple); and hematologic cancer (multiple)."
WBGene00006620,WBGene00020504,svh-1,svh-2,1.0,11,Cell adhesion,Plasminogen-like (HGFL),HGF receptor,"Is an ortholog of human TMPRSS15 (transmembrane serine protease 15). Is predicted to have serine-type endopeptidase activity. Is involved in several processes, including positive regulation of gonad development; positive regulation of pharyngeal pumping; and protein destabilization. Is expressed in ADLL and ADLR.","Is an ortholog of human MERTK (MER proto-oncogene, tyrosine kinase) and TYRO3 (TYRO3 protein tyrosine kinase). Exhibits mitogen-activated protein kinase kinase kinase binding activity and transmembrane receptor protein tyrosine kinase activity. Is involved in generation of neurons; peptidyl-tyrosine autophosphorylation; and positive regulation of MAPK cascade. Is expressed in distal tip cell; excretory canal; and muscle cell. Human ortholog(s) of this gene are implicated in several diseases, including brain disease (multiple); gastrointestinal system cancer (multiple); and hematologic cancer (multiple)."
WBGene00003029,WBGene00003238,lin-44,mig-1,1.0,25,Wnt signaling,Wnt,Frizzled,"Is an ortholog of human WNT10A (Wnt family member 10A) and WNT10B (Wnt family member 10B). Is predicted to have frizzled binding activity and receptor ligand activity. Is involved in several processes, including generation of neurons; nematode male tail tip morphogenesis; and neuroblast migration. Is expressed in several structures, including P6.pa; P6.pp; anchor cell; rectal epithelial cell; and tail. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).",Is predicted to have Wnt-activated receptor activity and Wnt-protein binding activity. Is involved in generation of neurons; mitochondrial unfolded protein response; and neuroblast migration. Is expressed in anal depressor muscle; head muscle; and neurons. Human ortholog(s) of this gene are implicated in nonsyndromic congenital nail disorder 10 and omodysplasia.
WBGene00002280,WBGene00003930,let-2,pat-3,1.0,26,Cell adhesion,Collagen,Integrin,"Is an ortholog of human COL4A5 (collagen type IV alpha 5 chain) and COL4A6 (collagen type IV alpha 6 chain). Exhibits extracellular matrix structural constituent conferring tensile strength. Is involved in several processes, including embryo development; gonad morphogenesis; and regulation of distal tip cell migration. Localizes to collagen type IV trimer. Is expressed in several structures, including coelomocyte; egg-laying apparatus; rectal muscle; spermatheca; and tail.","Is an ortholog of human ITGB1 (integrin subunit beta 1). Is predicted to have integrin binding activity. Is involved in several processes, including mitochondrion organization; muscle cell cellular homeostasis; and positive regulation of cellular component organization. Localizes to several cellular components, including contractile fiber; focal adhesion; and lateral plasma membrane. Is expressed in egg-laying apparatus; enteric muscle; gonad; uterine epithelial cell; and vulval precursor cell. Human ortholog(s) of this gene are implicated in leukocyte adhesion deficiency 1."
WBGene00000674,WBGene00016104,col-99,ddr-1,1.0,35,Cell adhesion,Collagen,Discoidin domain receptor,"Is an ortholog of human COL13A1 (collagen type XIII alpha 1 chain). Is predicted to have extracellular matrix structural constituent. Is involved in axon guidance. Localizes to several cellular components, including extracellular space; neuromuscular junction; and spanning component of plasma membrane. Is expressed in anal depressor muscle; body wall musculature; hypodermis; neurons; and retrovesicular ganglion. Human ortholog(s) of this gene are implicated in congenital myasthenic syndrome 19.",Is an ortholog of human DDR1 (discoidin domain receptor tyrosine kinase 1) and DDR2 (discoidin domain receptor tyrosine kinase 2). Is predicted to have collagen binding activity and protein tyrosine kinase collagen receptor activity. Is involved in motor neuron axon guidance and positive regulation of axon regeneration. Is expressed in hypodermis; intestinal muscle; nervous system; and pharynx.
WBGene00003395,WBGene00003397,mom-2,mom-5,1.0,38,Wnt signaling,Wnt,Frizzled,"Exhibits receptor tyrosine kinase binding activity. Is involved in several processes, including asymmetric protein localization involved in cell fate determination; embryonic morphogenesis; and generation of neurons. Is expressed in several structures, including HSN; Z2; Z3; anchor cell; and epithelial cell. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).","Is an ortholog of human FZD1 (frizzled class receptor 1) and FZD7 (frizzled class receptor 7). Is predicted to have Wnt-activated receptor activity. Is involved in several processes, including Wnt signaling pathway, regulating spindle positioning; embryonic morphogenesis; and generation of neurons. Is expressed in several structures, including QL.a; QR.a; QR.pa; anus; and nervous system. Human ortholog(s) of this gene are implicated in omodysplasia."
WBGene00003738,WBGene00004215,nid-1,ptp-3,1.0,46,Cell adhesion,Nidogen,LAR-RPTP,"Is an ortholog of human NID1 (nidogen 1) and NID2 (nidogen 2). Exhibits extracellular matrix structural constituent. Is involved in several processes, including cholinergic synaptic transmission; nervous system development; and protein localization to synapse. Localizes to basal part of cell and basement membrane. Is expressed in several structures, including enteric muscle; gonad; labial sensillum; neurons; and vulval cell. Human ortholog(s) of this gene are implicated in Donnai-Barrow syndrome and familial hypercholesterolemia.","Is an ortholog of human PTPRD (protein tyrosine phosphatase receptor type D) and PTPRF (protein tyrosine phosphatase receptor type F). Is predicted to have transmembrane receptor protein tyrosine phosphatase activity. Is involved in several processes, including embryonic morphogenesis; nervous system development; and neuroblast migration. Localizes to adherens junction and synapse. Is expressed in embryonic cell; hypodermis; and nervous system."
WBGene00001700,WBGene00004208,grd-11,ptc-1,1.0,50,Hedgehog signaling,DHH,PTCH1,"Is an ortholog of human DHH (desert hedgehog signaling molecule); IHH (Indian hedgehog signaling molecule); and SHH (sonic hedgehog signaling molecule). Human ortholog(s) of this gene are implicated in several diseases, including 46 XY gonadal dysgenesis; bone development disease (multiple); and holoprosencephaly 3. Is predicted to encode a protein with the following domains: Hint module; Ground-like domain; Hedgehog protein, Hint domain; Hint domain C-terminal; Hint domain N-terminal; Ground-like domain; and Hint domain superfamily.",Is an ortholog of human PTCH1 (patched 1) and PTCH2 (patched 2). Is predicted to have hedgehog family protein binding activity; hedgehog receptor activity; and smoothened binding activity. Is involved in molting cycle. Localizes to integral component of plasma membrane. Is used to study Parkinson's disease.
WBGene00000857,WBGene00003238,cwn-1,mig-1,1.0,60,Wnt signaling,Wnt,Frizzled,"Is an ortholog of human WNT4 (Wnt family member 4). Exhibits receptor tyrosine kinase binding activity. Is involved in several processes, including generation of neurons; neuroblast migration; and regulation of vulval development. Is expressed in several structures, including CAN; hypodermal cell; intestine; muscle cell; and somatic nervous system. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).",Is predicted to have Wnt-activated receptor activity and Wnt-protein binding activity. Is involved in generation of neurons; mitochondrial unfolded protein response; and neuroblast migration. Is expressed in anal depressor muscle; head muscle; and neurons. Human ortholog(s) of this gene are implicated in nonsyndromic congenital nail disorder 10 and omodysplasia.
WBGene00001188,WBGene00003238,egl-20,mig-1,1.0,76,Wnt signaling,Wnt,Frizzled,"Is an ortholog of human WNT16 (Wnt family member 16). Exhibits receptor tyrosine kinase binding activity. Is involved in several processes, including generation of neurons; left/right axis specification; and mitochondrial unfolded protein response. Localizes to cell and extracellular space. Is expressed in several structures, including P6.paa; P6.pap; P6.ppa; body wall muscle cell from C lineage; and somatic nervous system.",Is predicted to have Wnt-activated receptor activity and Wnt-protein binding activity. Is involved in generation of neurons; mitochondrial unfolded protein response; and neuroblast migration. Is expressed in anal depressor muscle; head muscle; and neurons. Human ortholog(s) of this gene are implicated in nonsyndromic congenital nail disorder 10 and omodysplasia.
